"Pearl, 2020",https://dare2compete.com/,
Exuberance,https://dare2compete.com/,
Analytics Conclave,https://dare2compete.com/,
KALAKARI'20- The Annual Fine Arts Fest of SGGSCC,https://dare2compete.com/,
Curious 2020,https://dare2compete.com/,
Monexus 2020,https://dare2compete.com/,
DRAV '20,https://dare2compete.com/,
Sadbhavna 2020,https://dare2compete.com/,
"Bizkrieg'20 - (Finance and Investment Cell, CVS)",https://dare2compete.com/,
Vivante - The Philanthropic Fest,https://dare2compete.com/,
Monetaire,https://dare2compete.com/,
Kaizen'2020,https://dare2compete.com/,
MAGNOVITE 2020 (Inter Collegiate Techno Management Design Fest),https://dare2compete.com/,
Ashoka Business Conclave 2020,https://dare2compete.com/,
Business Conclave,https://dare2compete.com/,
Euphoria,https://dare2compete.com/,
Rupantaran(Amethyst),https://dare2compete.com/,
MAGNOVITE 2020 (Inter Collegiate Techno Management Design Fest),https://dare2compete.com/,
ARBITRAGE,https://dare2compete.com/,
ABHIYANTRIX-2020,https://dare2compete.com/,
Esummit'20 IIITD,https://dare2compete.com/,
PRABANDHAZ 2020,https://dare2compete.com/,
SUPREMUM'2020,https://dare2compete.com/,
Tangentia Jigyasa Quiz 2020,https://dare2compete.com/,
Pratyush'20,https://dare2compete.com/,
Technikala 2020,https://dare2compete.com/,
COMMANTRA 2020,https://dare2compete.com/,
Cognizance'20,https://dare2compete.com/,
Spardha 2020,https://dare2compete.com/,
CRESCITA'20,https://dare2compete.com/,
BizStreet'2020,https://dare2compete.com/,
Foresight,https://dare2compete.com/,
GoCrackIt Challenge,https://dare2compete.com/,
Insignia Internationals 2020,https://dare2compete.com/,
Odyssey'20,https://dare2compete.com/,
KARVAAN,https://dare2compete.com/,
Minductor 8.0,https://dare2compete.com/,
UPHORIA,https://dare2compete.com/,
E-Summit 2020 Niftem,https://dare2compete.com/,
Tangerine Trails 2020,https://dare2compete.com/,
Manthan'20,https://dare2compete.com/,
Markopolis,https://dare2compete.com/,
TEXPERIA,https://dare2compete.com/,
Revels'20,https://dare2compete.com/,
FINTELLECT,https://dare2compete.com/,
ANVESHAN 2020,https://dare2compete.com/,
0,https://dare2compete.com/,
Dental and Oral Health,https://dare2compete.com/,
Synergy'20,https://dare2compete.com/,
"Innovatia 2020 - Ideate, Innovate and Inspire",https://dare2compete.com/,
Scintillations 2020,https://dare2compete.com/,
MARKSFETE 2020 - Annual Marketing Fest,https://dare2compete.com/,
ENIGMA'20,https://dare2compete.com/,
CURA'20,https://dare2compete.com/,
VASUDHA,https://dare2compete.com/,
L' ECONOMISTE 2020,https://dare2compete.com/,
STRATUP BUSINESS LEAGUE,https://dare2compete.com/,
SINHGAD KARANDAK,https://dare2compete.com/,
ZEPHYR 2020,https://dare2compete.com/,
ILLUME 2020,https://dare2compete.com/,
"Research Article Competition- The Marketing Forum, TAPMI",https://dare2compete.com/,
Revenire'20,https://dare2compete.com/,
Simerations'20 - La fete Carnaval,https://dare2compete.com/,
TRANSCEND,https://dare2compete.com/,
Converge 2020,https://dare2compete.com/,
INKARNO 2K20,https://dare2compete.com/,
ARTHVYAWASTHA'20,https://dare2compete.com/,
Inbush World Era 2020,https://dare2compete.com/,
Economania,https://dare2compete.com/,
ANVESHAN,https://dare2compete.com/,
Startup Odyssey,https://dare2compete.com/,
INTOLLESPHERE,https://dare2compete.com/,
Moments 2020 - Annual Academic Meet - Department of Statistics,https://dare2compete.com/,
Bullzire'20,https://dare2compete.com/,
